PERCENT_WAITING_OVER_THIRTY_MINUTES,CND_POLL_UUID,NAME,STATE,COUNTY_NAME,SLATED_FOR_CLOSURE_IN_GA
48.0226,ba0112d4b4118991cf508f2dcdb4b005,WOODIE FITE,GA,DOUGLAS,True
55.3719,59e08e4716bd8334e811fbf7c1fafabd,COURT HOUSE BURKE CO.,GA,BURKE,False
25.7143,334d69db419d5c2a0330d4ad7e868909,PEACH COUNTY BOARD OF ELECTIONS & REGISTRATION OFFICE,GA,PEACH,False
49.6,301368b10e5bc3abef56d091db20b7a6,BALL GROUND PUBLIC LIBRARY,GA,CHEROKEE,True
53.0968,d5b6c93dd6f6b27948afa10cef389b82,GWINNETT COUNTY BOARD OF VOTER REGISTRATIONS AND ELECTIONS,GA,GWINNETT,False
64.5161,6b613207f6b7e2172c3af16a90d71a07,WALKER COUNTY COURTHOUSE,GA,WALKER,False
60.3448,dcf1e427fe61f170e19e746999d7a48d,LAMAR COUNTY BOARD OF ELECTIONS AND REGISTRATION OFFICE,GA,LAMAR,False
63.2653,052465a7075ba3f3f0c102cae9b4628d,SHORTY HOWELL PARK ACTIVITY BUILDING,GA,GWINNETT,False
93.8931,00bc87b03b97310e6dd8e460d5c72104,COURTHOUSE ANNEX,GA,HARRIS,False
11.8069,e6f389b5d70cce820fde39f4e78acc87,ELECTIONS AND VOTER REGISTRATION OFFICE,GA,FORSYTH,False
9.0278,2870057d6a9ede22862b539342eaed94,ROCKMART COMMUNITY CENTER,GA,POLK,False
8.1081,1b1ad473dfe393afa296dd9d0d7e05a9,ELECTION OFFICE,GA,TATTNALL,False
80.0,dda7fa9e4ed975202751fafe4d39008d,HENRY H BRIGHAM COMM.CENTER,GA,RICHMOND,False
35.5469,2f93ae61c21e9ac645a2af44c19dc5dd,AA - NEW BEFINNINGS SENIOR CENTER,GA,FULTON,False
28.9796,b336cf019c4e08c47c997b7a92cb7619,COUNTY ADMIN BUILDING,GA,BERRIEN,False
